source_url,link_url,link_title
http://en.wikipedia.org,http://en.wikipedia.org/wiki/Wikipedia,"Wikipedia - Wikipedia"
http://en.wikipedia.org,http://en.wikipedia.org/wiki/Free_content,"Free content - Wikipedia"
http://en.wikipedia.org,http://en.wikipedia.org/wiki/Encyclopedia,"Encyclopedia - Wikipedia"
http://en.wikipedia.org,http://en.wikipedia.org/wiki/English_language,"English language - Wikipedia"
http://en.wikipedia.org,http://en.wikipedia.org/wiki/Documentary_film,"Documentary film - Wikipedia"
http://en.wikipedia.org,http://en.wikipedia.org/wiki/Debra_Chasnoff,"Debra Chasnoff - Wikipedia"
http://en.wikipedia.org,http://en.wikipedia.org/wiki/Conservatism_in_the_United_States,"Conservatism in the United States - Wikipedia"
http://en.wikipedia.org,http://en.wikipedia.org/wiki/PBS,"PBS - Wikipedia"
http://en.wikipedia.org,http://en.wikipedia.org/wiki/American_Family_Association,"American Family Association - Wikipedia"
http://en.wikipedia.org,http://en.wikipedia.org/wiki/GLAAD_Media_Award_for_Outstanding_Documentary,"GLAAD Media Award for Outstanding Documentary - Wikipedia"
http://en.wikipedia.org/wiki/Wikipedia,http://en.wikipedia.org/wiki/Main_Page,"Wikipedia, the free encyclopedia"
http://en.wikipedia.org/wiki/Wikipedia,http://en.wikipedia.org/wiki/English_Wikipedia,"English Wikipedia - Wikipedia"
http://en.wikipedia.org/wiki/Wikipedia,http://en.wikipedia.org/wiki/List_of_Wikipedias,"List of Wikipedias - Wikipedia"
http://en.wikipedia.org/wiki/Wikipedia,http://en.wikipedia.org/wiki/Wikipedia_(disambiguation),"Wikipedia (disambiguation) - Wikipedia"
http://en.wikipedia.org/wiki/Wikipedia,http://en.wikipedia.org/wiki/Wikipedia_logo,"Wikipedia logo - Wikipedia"
http://en.wikipedia.org/wiki/Wikipedia,http://en.wikipedia.org/wiki/Glyph,"Glyph - Wikipedia"
http://en.wikipedia.org/wiki/Wikipedia,http://en.wikipedia.org/wiki/Writing_system,"Writing system - Wikipedia"
http://en.wikipedia.org/wiki/Wikipedia,http://en.wikipedia.org/wiki/Online_encyclopedia,"Online encyclopedia - Wikipedia"
http://en.wikipedia.org/wiki/Wikipedia,http://en.wikipedia.org/wiki/United_States,"United States - Wikipedia"
http://en.wikipedia.org/wiki/Wikipedia,http://en.wikipedia.org/wiki/Wikimedia_Foundation,"Wikimedia Foundation - Wikipedia"
http://en.wikipedia.org/wiki/Free_content,http://en.wikipedia.org/wiki/Definition_of_Free_Cultural_Works,"Definition of Free Cultural Works - Wikipedia"
http://en.wikipedia.org/wiki/Free_content,http://en.wikipedia.org/wiki/Work_of_art,"Work of art - Wikipedia"
http://en.wikipedia.org/wiki/Free_content,http://en.wikipedia.org/wiki/Content_(media_and_publishing),"Content (media) - Wikipedia"
http://en.wikipedia.org/wiki/Free_content,http://en.wikipedia.org/wiki/Definition_of_Free_Cultural_Works,"Definition of Free Cultural Works - Wikipedia"
http://en.wikipedia.org/wiki/Free_content,http://en.wikipedia.org/wiki/Definition_of_Free_Cultural_Works,"Definition of Free Cultural Works - Wikipedia"
http://en.wikipedia.org/wiki/Free_content,http://en.wikipedia.org/wiki/Copyright,"Copyright - Wikipedia"
http://en.wikipedia.org/wiki/Free_content,http://en.wikipedia.org/wiki/License,"License - Wikipedia"
http://en.wikipedia.org/wiki/Free_content,http://en.wikipedia.org/wiki/Berne_Convention,"Berne Convention - Wikipedia"
http://en.wikipedia.org/wiki/Free_content,http://en.wikipedia.org/wiki/Monopoly,"Monopoly - Wikipedia"
http://en.wikipedia.org/wiki/Free_content,http://en.wikipedia.org/wiki/Open_content,"Free content - Wikipedia"
http://en.wikipedia.org/wiki/Encyclopedia,http://en.wikipedia.org/wiki/Encyclopedia_(disambiguation),"Encyclopedia (disambiguation) - Wikipedia"
http://en.wikipedia.org/wiki/Encyclopedia,http://en.wikipedia.org/wiki/Online_encyclopedia,"Online encyclopedia - Wikipedia"
http://en.wikipedia.org/wiki/Encyclopedia,http://en.wikipedia.org/wiki/Encyclop%C3%A6dia_Britannica,"Encyclopædia Britannica - Wikipedia"
http://en.wikipedia.org/wiki/Encyclopedia,http://en.wikipedia.org/wiki/American_English,"American English - Wikipedia"
http://en.wikipedia.org/wiki/Encyclopedia,http://en.wikipedia.org/wiki/British_English,"British English - Wikipedia"
http://en.wikipedia.org/wiki/Encyclopedia,http://en.wikipedia.org/wiki/Reference_work,"Reference work - Wikipedia"
http://en.wikipedia.org/wiki/Encyclopedia,http://en.wikipedia.org/wiki/Compendium,"Compendium - Wikipedia"
http://en.wikipedia.org/wiki/Encyclopedia,http://en.wikipedia.org/wiki/Knowledge,"Knowledge - Wikipedia"
http://en.wikipedia.org/wiki/Encyclopedia,http://en.wikipedia.org/wiki/Article_(publishing),"Article (publishing) - Wikipedia"
http://en.wikipedia.org/wiki/Encyclopedia,http://en.wikipedia.org/wiki/Alphabetical_order,"Alphabetical order - Wikipedia"
http://en.wikipedia.org/wiki/English_language,http://en.wikipedia.org/wiki/English_(disambiguation),"English - Wikipedia"
http://en.wikipedia.org/wiki/English_language,http://en.wikipedia.org/wiki/English_people,"English people - Wikipedia"
http://en.wikipedia.org/wiki/English_language,http://en.wikipedia.org/wiki/Anglo-Saxons,"Anglo-Saxons - Wikipedia"
http://en.wikipedia.org/wiki/English_language,http://en.wikipedia.org/wiki/Second_language,"Second language - Wikipedia"
http://en.wikipedia.org/wiki/English_language,http://en.wikipedia.org/wiki/Foreign_language,"Foreign language - Wikipedia"
http://en.wikipedia.org/wiki/English_language,http://en.wikipedia.org/wiki/Language_family,"Language family - Wikipedia"
http://en.wikipedia.org/wiki/English_language,http://en.wikipedia.org/wiki/Indo-European_languages,"Indo-European languages - Wikipedia"
http://en.wikipedia.org/wiki/English_language,http://en.wikipedia.org/wiki/Germanic_languages,"Germanic languages - Wikipedia"
http://en.wikipedia.org/wiki/English_language,http://en.wikipedia.org/wiki/West_Germanic_languages,"West Germanic languages - Wikipedia"
http://en.wikipedia.org/wiki/English_language,http://en.wikipedia.org/wiki/Ingvaeonic_languages,"North Sea Germanic - Wikipedia"
http://en.wikipedia.org/wiki/Documentary_film,http://en.wikipedia.org/wiki/Documentary_(disambiguation),"Documentary (disambiguation) - Wikipedia"
http://en.wikipedia.org/wiki/Documentary_film,http://en.wikipedia.org/wiki/16_mm_film,"16 mm film - Wikipedia"
http://en.wikipedia.org/wiki/Documentary_film,http://en.wikipedia.org/wiki/Bolex,"Bolex - Wikipedia"
http://en.wikipedia.org/wiki/Documentary_film,http://en.wikipedia.org/wiki/Film,"Film - Wikipedia"
http://en.wikipedia.org/wiki/Documentary_film,http://en.wikipedia.org/wiki/Recorded_history,"Recorded history - Wikipedia"
http://en.wikipedia.org/wiki/Documentary_film,http://en.wikipedia.org/wiki/Bill_Nichols_(film_critic),"Bill Nichols (film critic) - Wikipedia"
http://en.wikipedia.org/wiki/Documentary_film,http://en.wikipedia.org/wiki/Actuality_film,"Actuality film - Wikipedia"
http://en.wikipedia.org/wiki/Documentary_film,http://en.wikipedia.org/wiki/Educational_film,"Educational film - Wikipedia"
http://en.wikipedia.org/wiki/Documentary_film,http://en.wikipedia.org/wiki/Observation,"Observation - Wikipedia"
http://en.wikipedia.org/wiki/Documentary_film,http://en.wikipedia.org/wiki/Docufiction,"Docufiction - Wikipedia"
http://en.wikipedia.org/wiki/Debra_Chasnoff,http://en.wikipedia.org/wiki/Filmmaker,"Filmmaking - Wikipedia"
http://en.wikipedia.org/wiki/Debra_Chasnoff,http://en.wikipedia.org/wiki/Social_justice,"Social justice - Wikipedia"
http://en.wikipedia.org/wiki/Debra_Chasnoff,http://en.wikipedia.org/wiki/New_Day_Films,"New Day Films - Wikipedia"
http://en.wikipedia.org/wiki/Debra_Chasnoff,http://en.wikipedia.org/wiki/Frameline,"Frameline Film Festival - Wikipedia"
http://en.wikipedia.org/wiki/Debra_Chasnoff,http://en.wikipedia.org/wiki/POWER_UP,"POWER UP - Wikipedia"
http://en.wikipedia.org/wiki/Debra_Chasnoff,http://en.wikipedia.org/wiki/Choosing_Children_(documentary),"Choosing Children (documentary) - Wikipedia"
http://en.wikipedia.org/wiki/Debra_Chasnoff,http://en.wikipedia.org/wiki/General_Electric,"General Electric - Wikipedia"
http://en.wikipedia.org/wiki/Debra_Chasnoff,http://en.wikipedia.org/wiki/National_Broadcasting_Company,"NBC - Wikipedia"
http://en.wikipedia.org/wiki/Debra_Chasnoff,http://en.wikipedia.org/wiki/Radio_Corporation_of_America,"RCA - Wikipedia"
http://en.wikipedia.org/wiki/Debra_Chasnoff,http://en.wikipedia.org/wiki/Gavin_Newsom,"Gavin Newsom - Wikipedia"
http://en.wikipedia.org/wiki/Conservatism_in_the_United_States,http://en.wikipedia.org/wiki/The_American_Conservative,"The American Conservative - Wikipedia"
http://en.wikipedia.org/wiki/Conservatism_in_the_United_States,http://en.wikipedia.org/wiki/Conservatism,"Conservatism - Wikipedia"
http://en.wikipedia.org/wiki/Conservatism_in_the_United_States,http://en.wikipedia.org/wiki/Conservatism_(disambiguation),"Conservatism (disambiguation) - Wikipedia"
http://en.wikipedia.org/wiki/Conservatism_in_the_United_States,http://en.wikipedia.org/wiki/Compassionate_conservatism,"Compassionate conservatism - Wikipedia"
http://en.wikipedia.org/wiki/Conservatism_in_the_United_States,http://en.wikipedia.org/wiki/Fiscal_conservatism,"Fiscal conservatism - Wikipedia"
http://en.wikipedia.org/wiki/Conservatism_in_the_United_States,http://en.wikipedia.org/wiki/Fusionism,"Fusionism - Wikipedia"
http://en.wikipedia.org/wiki/Conservatism_in_the_United_States,http://en.wikipedia.org/wiki/Libertarian_conservatism,"Libertarian conservatism - Wikipedia"
http://en.wikipedia.org/wiki/Conservatism_in_the_United_States,http://en.wikipedia.org/wiki/Movement_conservatism,"Movement conservatism - Wikipedia"
http://en.wikipedia.org/wiki/Conservatism_in_the_United_States,http://en.wikipedia.org/wiki/Neoconservatism,"Neoconservatism - Wikipedia"
http://en.wikipedia.org/wiki/Conservatism_in_the_United_States,http://en.wikipedia.org/wiki/Paleoconservatism,"Paleoconservatism - Wikipedia"
http://en.wikipedia.org/wiki/PBS,http://en.wikipedia.org/wiki/PBS_Kids,"PBS Kids - Wikipedia"
http://en.wikipedia.org/wiki/PBS,http://en.wikipedia.org/wiki/PBS_Kids_Go!,"PBS Kids Go! - Wikipedia"
http://en.wikipedia.org/wiki/PBS,http://en.wikipedia.org/wiki/PBS_(disambiguation),"PBS (disambiguation) - Wikipedia"
http://en.wikipedia.org/wiki/PBS,http://en.wikipedia.org/wiki/Public_Broadcasting_Services,"Public Broadcasting Services - Wikipedia"
http://en.wikipedia.org/wiki/PBS,http://en.wikipedia.org/wiki/Public_Broadcast_Service,"Public Broadcast Service - Wikipedia"
http://en.wikipedia.org/wiki/PBS,http://en.wikipedia.org/wiki/Public_Service_Broadcasting_(band),"Public Service Broadcasting (band) - Wikipedia"
http://en.wikipedia.org/wiki/PBS,http://en.wikipedia.org/wiki/Non-commercial_educational_station,"Non-commercial educational station - Wikipedia"
http://en.wikipedia.org/wiki/PBS,http://en.wikipedia.org/wiki/Terrestrial_television,"Terrestrial television - Wikipedia"
http://en.wikipedia.org/wiki/PBS,http://en.wikipedia.org/wiki/Public_broadcasting,"Public broadcasting - Wikipedia"
http://en.wikipedia.org/wiki/PBS,http://en.wikipedia.org/wiki/Terrestrial_television,"Terrestrial television - Wikipedia"
http://en.wikipedia.org/wiki/American_Family_Association,http://en.wikipedia.org/wiki/American_Family_Foundation,"International Cultic Studies Association - Wikipedia"
http://en.wikipedia.org/wiki/American_Family_Association,http://en.wikipedia.org/wiki/Donald_Wildmon,"Donald Wildmon - Wikipedia"
http://en.wikipedia.org/wiki/American_Family_Association,http://en.wikipedia.org/wiki/Charitable_organization,"Charitable organization - Wikipedia"
http://en.wikipedia.org/wiki/American_Family_Association,http://en.wikipedia.org/wiki/501(c)(3),"501(c)(3) organization - Wikipedia"
http://en.wikipedia.org/wiki/American_Family_Association,http://en.wikipedia.org/wiki/Taxpayer_Identification_Number,"Taxpayer Identification Number - Wikipedia"
http://en.wikipedia.org/wiki/American_Family_Association,http://en.wikipedia.org/wiki/Employer_Identification_Number,"Employer Identification Number - Wikipedia"
http://en.wikipedia.org/wiki/American_Family_Association,http://en.wikipedia.org/wiki/Christian_fundamentalism,"Christian fundamentalism - Wikipedia"
http://en.wikipedia.org/wiki/American_Family_Association,http://en.wikipedia.org/wiki/Bryan_Fischer,"Bryan Fischer - Wikipedia"
http://en.wikipedia.org/wiki/American_Family_Association,http://en.wikipedia.org/wiki/Conservatism_in_the_United_States,"Conservatism in the United States - Wikipedia"
http://en.wikipedia.org/wiki/American_Family_Association,http://en.wikipedia.org/wiki/Compassionate_conservatism,"Compassionate conservatism - Wikipedia"
